"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","用户登录功能","1","0","登录用例 Login-004","0"
"0","","0","用户登录功能","1","0","登录用例 Login-001","0"
"0","","0","用户登录功能","1","0","登录用例 Login-002","0"
"0","","0","用户登录功能","1","0","登录用例 Login-003","0"
